report_id,company_name,isin,reported_at,pdf_path,pages_path,blocks_path,year_month,DATE,SYMBOL,COMPANY_NAME,TICKER,SECTOR,MOMENTUM,VALUE,SIZE,BETA,SEDOL,ISIN,RETURNS,report_type
f_09K8nWYY,AMAZON.COM INC,US0231351067,2023-08-04,data/reports/AMAZON.COM_INC/f_09K8nWYY_file.pdf,data/reports/AMAZON.COM_INC/f_09K8nWYY_pages.txt,data/reports/AMAZON.COM_INC/f_09K8nWYY_blocks.txt,2023-08,2023-08-31,02313510,"Amazon.com, Inc.",AMZN,Consumer Discretionary,5.45081,-0.732,14.1418357906431,1.03141,2000019,US0231351067,0.0323908,Quarterly
f_0b4zBM2o,APPLE INC,US0378331005,2023-05-05,data/reports/APPLE_INC/f_0b4zBM2o_file.pdf,data/reports/APPLE_INC/f_0b4zBM2o_pages.txt,data/reports/APPLE_INC/f_0b4zBM2o_blocks.txt,2023-05,2023-05-31,03783310,Apple Inc.,AAPL,Information Technology,14.5241,-0.764,14.841085714895,1.37753,2046251,US0378331005,0.0460662,Quarterly
f_2ffYZbfK,ANSYS INC,US03662Q1058,2023-11-01,data/reports/ANSYS_INC/f_2ffYZbfK_file.pdf,data/reports/ANSYS_INC/f_2ffYZbfK_pages.txt,data/reports/ANSYS_INC/f_2ffYZbfK_blocks.txt,2023-11,2023-11-30,03662Q10,"ANSYS, Inc.",ANSS,Information Technology,8.19506,-0.478,10.1644201985978,0.957482,2045623,US03662Q1058,0.0542657,Quarterly
f_39nDi5yFamI3qHoGyvQ6Pm,AMAZON.COM INC,US0231351067,2024-08-02,data/reports/AMAZON.COM_INC/f_39nDi5yFamI3qHoGyvQ6Pm_file.pdf,data/reports/AMAZON.COM_INC/f_39nDi5yFamI3qHoGyvQ6Pm_pages.txt,data/reports/AMAZON.COM_INC/f_39nDi5yFamI3qHoGyvQ6Pm_blocks.txt,2024-08,2024-08-30,02313510,"Amazon.com, Inc.",AMZN,Consumer Discretionary,34.5302,-0.451,14.4069001725974,0.996978,2000019,US0231351067,-0.0453524,Quarterly
f_3WG1Dzps,AMGEN INC,US0311621009,2023-02-09,data/reports/AMGEN_INC/f_3WG1Dzps_file.pdf,data/reports/AMGEN_INC/f_3WG1Dzps_pages.txt,data/reports/AMGEN_INC/f_3WG1Dzps_blocks.txt,2023-02,2023-02-28,03116210,Amgen Inc.,AMGN,Health Care,14.5393,-0.505,11.737593708551,0.816701,2023607,US0311621009,-0.0740601999999999,Annual
f_4ENdfSusIDKscSinPg4EaW,AMGEN INC,US0311621009,2024-10-31,data/reports/AMGEN_INC/f_4ENdfSusIDKscSinPg4EaW_file.pdf,data/reports/AMGEN_INC/f_4ENdfSusIDKscSinPg4EaW_pages.txt,data/reports/AMGEN_INC/f_4ENdfSusIDKscSinPg4EaW_blocks.txt,2024-10,2024-10-31,03116210,Amgen Inc.,AMGN,Health Care,29.8148,-0.316,12.0412752204317,0.667201,2023607,US0311621009,-0.00636226,Quarterly
f_4ysd6OKK8rSQOBLsY6gueL,AMGEN INC,US0311621009,2024-08-07,data/reports/AMGEN_INC/f_4ysd6OKK8rSQOBLsY6gueL_file.pdf,data/reports/AMGEN_INC/f_4ysd6OKK8rSQOBLsY6gueL_pages.txt,data/reports/AMGEN_INC/f_4ysd6OKK8rSQOBLsY6gueL_blocks.txt,2024-08,2024-08-30,03116210,Amgen Inc.,AMGN,Health Care,32.2142,-0.418,12.0887596019468,0.202042,2023607,US0311621009,0.0111189,Quarterly
f_5NUrBIw9IyXZFUSbYVElFw,AMGEN INC,US0311621009,2024-05-03,data/reports/AMGEN_INC/f_5NUrBIw9IyXZFUSbYVElFw_file.pdf,data/reports/AMGEN_INC/f_5NUrBIw9IyXZFUSbYVElFw_pages.txt,data/reports/AMGEN_INC/f_5NUrBIw9IyXZFUSbYVElFw_blocks.txt,2024-05,2024-05-31,03116210,Amgen Inc.,AMGN,Health Care,27.1265,-0.386,11.9920550903939,0.240008,2023607,US0311621009,0.124467,Quarterly
f_897nZIDumpMfbc4maRp3lK,AMGEN INC,US0311621009,2024-02-14,data/reports/AMGEN_INC/f_897nZIDumpMfbc4maRp3lK_file.pdf,data/reports/AMGEN_INC/f_897nZIDumpMfbc4maRp3lK_pages.txt,data/reports/AMGEN_INC/f_897nZIDumpMfbc4maRp3lK_blocks.txt,2024-02,2024-02-29,03116210,Amgen Inc.,AMGN,Health Care,38.7797,-0.189,11.9096595621706,0.162363,2023607,US0311621009,-0.1218689999999999,Annual
f_9L3qnuEYHNob7stUrGaE3d,ANSYS INC,US03662Q1058,2024-11-06,data/reports/ANSYS_INC/f_9L3qnuEYHNob7stUrGaE3d_file.pdf,data/reports/ANSYS_INC/f_9L3qnuEYHNob7stUrGaE3d_pages.txt,data/reports/ANSYS_INC/f_9L3qnuEYHNob7stUrGaE3d_blocks.txt,2024-11,2024-11-29,03662Q10,"ANSYS, Inc.",ANSS,Information Technology,9.88758,-0.33,10.323326560929,1.24108,2045623,US03662Q1058,0.0957836,Quarterly
